customer_id,age,tenure_years,product_count,avg_balance,has_mortgage,salary_deposit_flag,digital_engagement,branch_visits_last_q,complaints_12m,nps_bucket,promo_exposure,fee_events_12m,rate_sensitivity,card_spend_monthly,quarter,state,wallet_share,next_state,wallet_share_next,age_group,tenure_group
1,23,4.2,7,10637.522199706224,1,1,1.0,1,0,-1,0,0,0.4919151008012909,318.5509803371256,t0,LEAVE,0.0381,SPLIT,0.5119,18-30,2-5 yrs
2,69,8.26,3,22015.790836819677,1,0,0.4895787586879718,3,0,1,0,1,0.2445099294723041,1082.1278389707188,t0,SPLIT,0.4483,STAY,0.8648,60+,5-10 yrs
3,61,3.77,2,22394.189063866244,0,0,0.8395893681251295,3,0,1,0,3,0.4224325962223524,570.1540392942463,t0,STAY,0.8905,STAY,0.8663,60+,2-5 yrs
4,47,7.3,2,6112.650691265802,1,1,0.8934439748837314,2,0,1,0,2,0.4351965676189764,3420.6830943444324,t0,SPLIT,0.3995,STAY,0.9356,41-50,5-10 yrs
5,47,4.1,2,137971.7535351479,0,1,0.3999024144967382,4,1,0,1,3,0.3791468665965063,1907.243638564004,t0,STAY,0.987,STAY,0.894,41-50,2-5 yrs
6,75,9.29,5,17896.96660874173,0,1,0.4975379322055228,2,1,1,1,3,0.7777976997570881,1076.317550854957,t0,STAY,0.9347,STAY,0.8211,60+,5-10 yrs
7,23,1.3,4,23213.51246109778,1,0,0.7898908326366106,3,0,-1,0,1,0.8838483877069858,1673.7801916551975,t0,STAY,0.9063,STAY,0.976,18-30,0-2 yrs
8,64,2.19,2,13346.507955833096,1,0,0.7013487706006677,1,0,0,1,1,0.6970028124597717,639.3736370427332,t0,STAY,0.9357,STAY,0.9591,60+,2-5 yrs
9,31,4.84,7,17790.01046170882,1,1,0.3504875369335242,1,0,1,1,1,0.8026539306042311,1464.6429620355214,t0,STAY,0.8749,STAY,0.9377,31-40,2-5 yrs
10,24,3.35,5,16542.65558,1,0,0.5962003247063775,5,0,1,0,1,0.3737299311747755,7849.399044447465,t0,STAY,0.8955,STAY,0.7572,18-30,2-5 yrs
11,53,4.02,3,21974.88873616312,0,1,0.9111836472169882,3,0,1,0,3,0.4576033777721339,974.1248112,t0,STAY,0.8661,STAY,1.0,51-60,2-5 yrs
12,83,7.8,4,21770.86901977187,1,0,0.7138032019132858,3,1,1,0,5,0.327954847025637,1976.314902617543,t0,STAY,0.9471,SPLIT,0.5451,60+,5-10 yrs
13,67,3.96,5,41935.71287649978,1,0,0.5842780436732815,1,0,1,1,3,0.5229267544239663,892.8527867136619,t0,SPLIT,0.4255,SPLIT,0.6719,60+,2-5 yrs
14,68,6.48,2,26417.34153150443,0,1,0.2939417406102392,0,0,0,1,0,0.3220282573870895,879.8283417315434,t0,LEAVE,0.045,STAY,0.8646,60+,5-10 yrs
15,66,2.88,6,38693.48104269291,0,1,0.920262396,2,0,0,1,4,0.2880495930512407,3810.325990877905,t0,STAY,0.9228,STAY,0.897,60+,2-5 yrs
16,70,1.07,2,21854.264269452953,0,1,0.9667927259494112,3,0,1,1,3,0.0,592.7240020559224,t0,STAY,0.7736,STAY,0.8874,60+,0-2 yrs
17,52,8.23,1,26502.70399,1,0,1.0,1,0,0,1,3,0.5914419543810936,1532.7751107039455,t0,SPLIT,0.3067,STAY,0.9103,51-60,5-10 yrs
18,26,13.74,4,18159.61504291772,0,0,0.8151593413959773,3,0,0,1,3,0.7359560368264768,819.6386949607635,t0,STAY,0.8554,STAY,0.8068,18-30,10+ yrs
19,74,6.08,7,49142.984922801086,0,1,0.5076856785607624,0,0,1,0,2,0.7138522247109033,6222.994272552935,t0,STAY,0.91,STAY,0.81,60+,5-10 yrs
20,48,5.01,6,28512.50219603557,0,0,0.4270105210570357,4,1,0,1,3,0.6535704057281402,968.9612706,t0,STAY,0.9093,STAY,0.893,41-50,5-10 yrs
21,51,5.69,3,19409.93090492176,0,0,0.07170412,2,0,1,1,2,0.6643710239965112,575.5973696983089,t0,STAY,0.9996,STAY,0.8705,51-60,5-10 yrs
22,42,11.22,3,18952.13544,0,1,0.4289836006356723,1,0,0,1,3,0.4381731835840989,1562.7344796470263,t0,STAY,0.8539,STAY,0.9297,41-50,10+ yrs
