customer_id,age,tenure_years,product_count,avg_balance,has_mortgage,salary_deposit_flag,digital_engagement,branch_visits_last_q,complaints_12m,nps_bucket,promo_exposure,fee_events_12m,rate_sensitivity,card_spend_monthly,quarter,state,wallet_share,next_state,wallet_share_next,age_group,tenure_group,balance_category,product_engagement,risk_score,wallet_share_delta,state_changed,life_stage,value_segment,digital_adoption,quarter_numeric
2579,82,5.27,6,4799.685541175033,1,0,0.6833062999368562,3,0,1,0,2,0.4499358320286833,5665.774970055476,t0,SPLIT,0.2977,STAY,0.933,60+,5-10y,Low,23.604991889981058,0.6249679160143417,0.6353,1,Senior,Medium,None,0
913,43,3.43,1,13031.261180612924,0,0,0.5505021979393545,0,1,1,1,0,0.6685744915776775,345.13049211965813,t3,STAY,1.0,STAY,0.8435,41-50,2-5y,Low,30.565150659381807,0.6342872457888387,-0.15649999999999997,0,Mature,Low,None,3
2873,72,3.39,3,46690.64079848433,0,0,0.7975935770186823,2,0,0,1,2,0.5357448605101143,2026.9435377615712,t3,STAY,1.0,STAY,0.9048,60+,2-5y,VeryHigh,25.439278073105605,0.6678724302550572,-0.09519999999999995,0,Senior,Medium,None,3
4325,83,4.15,5,43918.48474325941,1,1,0.7665460509283454,3,0,1,1,4,0.2243243506674192,13723.61311667647,t3,STAY,0.8827,STAY,0.8875,60+,2-5y,VeryHigh,23.229963815278502,0.9121621753337097,0.0047999999999999154,0,Senior,Medium,None,3
694,81,8.64,2,63619.68070268364,1,0,0.8381670819540145,0,0,-1,1,3,0.4910648205861111,1933.5251866502656,t3,STAY,0.7694,STAY,1.0,60+,5-10y,VeryHigh,31.051450124586204,0.8455324102930557,0.23060000000000003,0,Senior,Medium,None,3
4518,21,15.41,6,23543.601857071117,1,1,0.4354060533387407,0,1,0,1,4,0.6161353590193221,586.4022772,t3,STAY,0.9692,STAY,1.0,18-30,10+y,High,32.53062181600162,1.4080676795096612,0.03080000000000005,0,Young,Medium,None,3
571,81,15.25,2,13914.304951572483,1,1,0.7238300883092773,0,0,-1,0,1,0.5743984046632622,685.0158567857695,t1,STAY,0.8449,STAY,0.7928,60+,10+y,Medium,31.017149026492785,0.4871992023316311,-0.052100000000000035,0,Senior,Medium,None,1
3128,78,7.74,6,12654.347772551664,1,1,0.5234189954811626,1,0,1,1,2,0.1148351182179033,321.3272691322027,t1,STAY,0.9651,STAY,0.7537,60+,5-10y,Low,29.55702569864435,0.45741755910895165,-0.21139999999999992,0,Senior,Medium,None,1
1894,65,3.54,3,1795.3027457690685,0,0,0.3428582627360659,0,0,-1,0,3,0.1959566624794431,1396.4973273885737,t3,STAY,0.8395,STAY,0.9354,60+,2-5y,Low,31.30285747882082,0.6979783312397216,0.09589999999999999,0,Senior,Medium,None,3
3481,71,5.12,2,19806.68942102631,1,0,0.098114431,2,0,-1,0,0,0.3735590794137962,18999.489523685617,t2,STAY,0.9165,STAY,0.8441,60+,5-10y,Medium,24.8294343293,0.1867795397068981,-0.07240000000000002,0,Senior,Medium,None,2
1215,22,1.84,1,21863.221473522983,0,1,0.1098853528588736,1,0,0,1,2,0.3378312419964105,6185.9441602830375,t3,STAY,0.9932,STAY,0.8583,18-30,0-2y,Medium,27.43296560585766,0.5689156209982053,-0.13490000000000002,0,Young,Medium,None,3
1108,78,3.04,2,3030.4364976219063,1,0,0.9268021612434134,3,0,-1,1,2,0.4281340539777788,2201.0117913925433,t3,STAY,0.7608,STAY,0.8095,60+,2-5y,Low,22.078040648373022,0.6140670269888895,0.048699999999999966,0,Senior,Medium,None,3
1196,60,7.46,2,17625.171192452268,0,0,0.4896528947819214,3,0,-1,1,3,0.4027158755316865,2924.034119996162,t2,STAY,0.8649,STAY,1.0,51-60,5-10y,Medium,21.946895868434577,0.8013579377658433,0.1351,0,Mature,Medium,None,2
2060,45,1.69,3,17611.66584504666,1,0,0.1885934975143694,2,0,0,1,5,0.5559091128649758,1242.687510951277,t1,STAY,0.8689,STAY,0.886,41-50,0-2y,Medium,25.256578049254312,1.277954556432488,0.017100000000000004,0,Family,Medium,None,1
4186,56,5.55,1,10904.837641195838,1,1,0.9043192600147978,1,0,0,1,1,0.6219167361512358,2040.1532328104624,t0,STAY,0.8829,STAY,0.9298,51-60,5-10y,Low,27.67129577800444,0.5109583680756179,0.04689999999999994,0,Mature,Low,None,0
3992,68,9.45,1,18574.134840255192,1,1,0.5759420947716328,2,0,-1,1,1,0.3328067492791923,1735.7925462508526,t3,STAY,0.8857,STAY,0.8883,60+,5-10y,Medium,24.57278262843149,0.36640337463959616,0.0025999999999999357,0,Senior,Low,None,3
1051,52,6.38,4,6362.155561731117,1,1,0.9561515150838716,1,0,1,0,2,0.054305958,2244.236932116835,t0,STAY,0.7806,STAY,0.8487,51-60,5-10y,Low,28.88684545452516,0.42715297900000004,0.06810000000000005,0,Mature,Medium,None,0
2138,19,4.34,4,26665.152615633335,0,0,0.8031625486256326,0,1,1,1,1,0.6401813432195305,983.8285170769484,t0,SPLIT,0.4971,STAY,1.0,18-30,2-5y,High,31.84094876458769,0.8200906716097652,0.5029,1,Young,Medium,None,0
2915,45,3.79,5,48380.45161891121,0,0,0.989942543,2,1,0,0,2,0.8413304685015413,2779.9848981354166,t2,STAY,0.8476,LEAVE,0.0853,41-50,2-5y,VeryHigh,26.2969827629,1.1206652342507706,-0.7623,1,Mature,Medium,None,2
1793,41,2.97,1,4505.4050913885185,0,0,0.4076184212572488,1,0,0,0,2,0.3810901326408411,1645.9911818158137,t3,STAY,0.7782,STAY,1.0,41-50,2-5y,Low,27.522285526377175,0.5905450663204206,0.2218,0,Mature,Low,None,3
3485,45,2.77,6,4833.618425035173,0,1,0.9947649953074208,5,0,1,1,2,0.4861138713115586,2349.7428272592165,t1,STAY,0.7837,STAY,0.9892,41-50,2-5y,Low,17.698429498592226,0.6430569356557794,0.20550000000000002,0,Mature,Medium,None,1
632,39,3.17,1,90566.18519543656,1,0,0.7774534734379465,1,0,-1,1,4,0.6072216027354316,754.4370005,t1,STAY,1.0,STAY,0.8635,31-40,2-5y,VeryHigh,27.633236042031385,1.103610801367716,-0.13649999999999995,0,Family,Medium,None,1
1983,21,1.77,1,18559.01960796316,0,0,0.5001625117464593,3,0,-1,0,3,0.4684852388539438,1929.7931223070177,t2,STAY,0.8905,STAY,0.8943,18-30,0-2y,Medium,21.55004875352394,0.834242619426972,0.0038000000000000256,0,Young,Low,None,2
2527,49,10.41,1,34160.759767160765,1,0,0.6844281192175962,0,0,0,0,4,0.072479015,3063.7462355403904,t2,STAY,0.8362,STAY,0.8883,41-50,10+y,High,30.60532843576528,0.8362395075000001,0.052099999999999924,0,Family,Medium,None,2
3562,29,3.95,3,8291.363144097671,0,0,0.4464860338119798,2,0,0,0,3,0.5716061714072792,1827.4137596213736,t0,STAY,0.9157,SPLIT,0.5474,18-30,2-5y,Low,25.333945810143593,0.8858030857036396,-0.36829999999999996,1,Young,Medium,None,0
4868,39,3.27,7,85820.60757754276,1,0,0.5850619453899197,4,0,1,0,2,0.5850976331247402,443.3463442968912,t2,STAY,1.0,STAY,0.9057,31-40,2-5y,VeryHigh,20.975518583616974,0.6925488165623701,-0.09430000000000005,0,Family,High,None,2
